광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
오비맥즈 카스 : 올림픽편,2024-07-30,30.0,음료및기호식품,알콜음료,맥주,오비맥주주식회사,레오버넷(주),로켓샐러드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861087H01_1_24-TX-07-077,30.03
한국타이어앤테크놀로지 티스테이션 : 오늘 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861142H01_1_24-TJ-07-011,15.02
엘지전자 PR :  공간 미래 연결하다편,2024-07-30,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150,30.03
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861159H01_1_24-TJ-07-028,15.02
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861159H01_1_24-TJ-07-028,15.02
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861159H01_1_24-TJ-07-028,15.02
링티 링티 : 택배편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861680H01_1_24-TH-08-334,15.02
링티 링티 : 풋살편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861111H01_1_24-TJ-07-001,15.02
경기도교육청 공유학교 : 우리의 길편,2024-07-30,40.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타,경기도교육청,(주)연합뉴스티브이,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861127H01_1_24-HC-07-105,40.04
한국전력 에너지 절약 캠페인 : 지구를 살리는 에센스편,2024-07-30,40.0,관공서및단체,단체,공공단체,(주)연합뉴스티브이,(주)연합뉴스티브이,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861126H01_1_24-HC-07-106,40.04
한국타이어앤테크놀로지 티스테이션 : 무상점검 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861141H01_1_24-TJ-07-015,15.02
케이티 KT 로밍 : 떠나자 3GB편,2024-07-30,15.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861108H01_1_24-TH-07-984,15.02
링티 : 고깃집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861112H01_1_24-TH-07-999,15.02
링티 : 수험생편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861679H01_1_24-TH-08-335,15.02
인터브랜드 라이나 : 스쳐가는 일상편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합,인터브랜드(주),(주)나스미디어,브라보,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861154H01_1_24-TJ-07-024,15.02
한국타이어 iON : 글로리어스모멘트편,2024-07-29,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,(주)크레마,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860982H01_1_24-TH-07-930,15.02
월트디즈니컴퍼니코리아 개봉안내 : 에이리언 HeartAlpha편,2024-07-29,30.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860995H01_1_24-TH-07-924,30.03
넷플릭스서비시스코리아 넷플릭스 : 8월 넷플 뭐 봄편,2024-07-29,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860985H01_1_24-TH-07-917,30.03
장스푸드 크랑이치킨 : 노부부편,2024-07-29,30.0,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861045H01_1_24-TH-07-949,30.03
월드비전 G6K : 달려보면 알거야편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타,사회복지법인월드비전,주식회사 드림인사이트,(주)드림인사이트,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861055H01_1_24-TH-07-956,15.02
제주항공 PR : 가자 우리에겐 J가 있다 일본편,2024-07-29,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860974H01_1_24-TH-07-910,15.02
하이모 PR : 당당하게 앞을 향해편,2024-07-29,30.0,화장품및보건용품,화장도구,가발류,유한책임회사하이모(HIMOLLC),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860979H01_1_24-TH-07-907,30.03
월드비전 G6K : 달려보면 알거야편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타,사회복지법인월드비전,주식회사 드림인사이트,(주)드림인사이트,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861055H01_1_24-TH-07-956,15.02
제주항공 PR : 가자 우리에겐 J가 있다 발리편,2024-07-29,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860977H01_1_24-TH-07-911,15.02
장스푸드 크크크치킨 : 바삭함의 끝판왕편,2024-07-29,15.0,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/868510H01_1_25-TH-01-709,30.03
파나소닉코리아 파나소닉 안마의자 MAN1 : 경험하지 못 한 절대 휴식편,2024-07-29,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,파나소닉코리아주식회사,(주)덴츠엑스,타이거밤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860972H01_1_24-TH-07-912,15.02
충청남도청 여행안내 : 충남의바다편,2024-07-29,30.0,관공서및단체,중앙및지방관공서,지방자치단체,충청남도청,(주)연합뉴스티브이,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860980H01_1_24-HC-07-090,30.03
폴스타오토모티브코리아 Polestar 4 : 별편,2024-07-29,30.0,수송기기,수입자동차,수입승용차,폴스타오토모티브코리아유한회사,(주)아이프로스펙트코리아,엘알 서울,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860994H01_1_24-TH-07-928,30.03
데일리앤코 몽제 : 허리가 편안한 매트리스편,2024-07-29,15.0,가정용품,가구류,침대,(주)데일리앤코,(주)에스비에스엠앤씨,SBS엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860988H01_1_24-TH-07-913,15.02
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860976H01_1_24-TH-07-909,30.03
홈플러스 썸머 홈플런 : 24년 2차편,2024-07-29,15.0,유통,대형유통,대형유통제품종합,홈플러스(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861047H01_1_24-TH-07-954,15.02
굿네이버스인터내셔날 굿네이버스 후원 : 고려인편,2024-07-29,60.0,관공서및단체,단체,민간단체,사단법인굿네이버스인터내셔날,주식회사 케이디엠코,(주)미디어브로,NULL,NULL
하이모 : 극복 체험이벤트편,2024-07-29,15.0,화장품및보건용품,화장도구,가발류,유한책임회사하이모(HIMOLLC),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860978H01_1_24-TH-07-906,15.02
명륜당 명륜진사갈비 : 마법편,2024-07-29,15.0,서비스,음식및숙박,대중음식점,주식회사명륜당,(주)오리콤,오리콤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861040H01_1_24-TX-07-075,15.02
비케이알 버거킹 콰트로치즈 비프라구와퍼 : 더 맛있더라구편,2024-07-29,15.0,식품,제빵,"햄버거,피자및샌드위치",주식회사비케이알,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861041H01_1_24-TX-07-074,15.02
월트디즈니컴퍼니코리아 에이리언 로물루스 : 대개봉 HeartAlpha편,2024-07-29,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860996H01_1_24-TH-07-923,15.02
폴스타오토모티브코리아 Polestar 4 : 아이돈노우편,2024-07-29,15.0,수송기기,수입자동차,수입승용차,폴스타오토모티브코리아유한회사,(주)아이프로스펙트코리아,엘알 서울,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860991H01_1_24-TH-07-929,15.02
장스푸드 크랑이치킨 : 잔다편,2024-07-29,30.0,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/862414H01_1_24-TH-08-814,30.03
미미월드 스마트 타요 빅매트 : 성공편,2024-07-29,15.0,유통,"소형,소매유통","소형,소매유통제품종합",(주)미미월드,(주)와우매니지먼트그룹,(주)재능방송,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860989H01_1_24-TH-07-914,15.02
아카데미과학 비기즈 : 왔어요편,2024-07-29,15.0,가정용품,완구류,일반완구,(주)아카데미과학,(주)파인애드컴,프로덕션디젤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860997H01_1_24-TH-07-915,15.02
홈플러스 썸머 홈플런 : 24년편,2024-07-29,15.0,유통,대형유통,대형유통제품종합,홈플러스(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860990H01_1_24-TH-07-931,15.02
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860976H01_1_24-TH-07-909,30.03
한서대학교 : 아닙니다편,2024-07-29,15.0,교육및복지후생,교육기관,대학대학원,한서대학교,직거래,묘수커뮤니케이션즈,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861048H01_1_24-TH-07-953,15.02
