광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,mid_cluster,major_cluster
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,21,F
고리나코리아 PR : 챔피언들의 선택편,2024-07-26,15.0,서비스,스포츠및오락시설,스포츠및오락시설제품종합,69,J
웰빙플러스 노도하이라이트 : 가장 새로운편,2024-07-26,15.0,가정용품,주방용품,가스렌지 및 전기렌지,114,B
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",53,N
하늘별바다 하늘별바다펜션 : 당신의 인생 휴양지는편,2024-07-26,20.0,서비스,음식및숙박,음식및숙박기타,96,J
코웨이 코웨이icon정수기2 : 더 좋아졌네편,2024-07-26,15.0,가정용품,주방용품,정수기,114,B
LG전자 기업PR : 공간과 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,21,F
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,130,R
제주항공 발리 : 진짜 우리가 원하던 곳으로편,2024-07-25,15.0,수송기기,항공수송기기,항공기,135,K
FIRSTFUNHONGKONG 라스트워 : 우린 항상 1위로 달려편,2024-07-25,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,126,R
전남대학교산학협력단 조기취업형계약학과 : 수시 원서접수편,2024-07-25,20.0,교육및복지후생,교육기관,대학대학원,18,E
로라엔터테인먼트 뱅뱅 : PRIVATE WINE PLACE편,2024-07-25,15.0,서비스,스포츠및오락시설,스포츠및오락시설기타,69,J
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,130,R
제주항공 : 띄웁니다 일본발리 2차편,2024-07-25,30.0,수송기기,항공수송기기,항공기,135,K
한국가스안전공사 가스안전캠페인 : 행복합니다편,2024-07-25,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,16,D
케이티 KT 로밍 : 떠나자편,2024-07-25,15.0,컴퓨터및정보통신,통신망,이동통신,130,R
삼성전자 SKT 갤럭시 폴더블6 : 보여드릴까요편,2024-07-25,60.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
삼성전자 SKT 갤럭시 Z Flip6 : 보여드릴까요편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
에스케이텔레콤 T우주패스 : 넷플릭스편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
제주항공 : 띄웁니다 발리일본 2차편,2024-07-25,30.0,수송기기,항공수송기기,항공기,135,K
케이비자산운용 KB자산운용 RISE ETF : 할까요편,2024-07-25,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
경남대학교 : 경남의 힘 25년 수시모집편,2024-07-25,20.0,교육및복지후생,교육기관,대학대학원,18,E
웰빙플러스 노도하이라이트 : 만나보세요편,2024-07-25,20.0,가정용품,주방용품,가스렌지 및 전기렌지,114,B
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
