행 번호,광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
33173,SK텔레콤 V컬러링_서장훈의 약올링,2020-09-24,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794558F02_1-20-TJ-09-030,30.03
33174,금계식품,2020-09-24,20.0,식품,농산품,농산품제품종합,영농조합법인금계식품,(주)에이사이드,에이사이드컴,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794604F02_1-20-TJ-09-117,20.02
33175,KBS예다함TV소재_20년도,2020-09-23,240.0,서비스,개인서비스,경조서비스,(주)와이씨네트웍스,직거래,(주)열심히커뮤니케이션즈,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/796290F02_1-20-TH-11-137,120.05
33176,에스케이텔레콤 SK텔레콤 : 초시대편,2020-09-23,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794514F02_1-20-TH-09-950,30.03
33177,돌침대 통큰세일10월~11월,2020-09-23,20.0,가정용품,가구류,가구류제품종합,두울황토방흙돌침대,(주)우일기획,(주)우일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794529F02_1-20-TH-09-911,20.02
33178,전남도립대학교_평생직업교육과정 수강생 모집,2020-09-23,10.0,교육및복지후생,사회교육,직업교육,전남도립대학교산학협력단,한국언론진흥재단,나라미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794476F02_1-20-TM-09-043,10.01
33179,삼성 갤럭시 노트20_쓰고 그리며 내가 가장 힐링되는 세상,2020-09-23,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,매스메스에이지,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794496F02_1-20-TJ-09-004,15.02
33180,창원기계공업고등학교,2020-09-23,10.0,교육및복지후생,교육기관,초중고등학교,창원기계공업고등학교,(주)경남미디어,(주)경남미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794512F02_1-20-TM-09-055,10.01
33181,아리울마켓 아리울떡 : 자꾸 먹고 싶어지는편,2020-09-23,20.0,유통,특수유통,전자상거래,주식회사 아리울마켓,(주)에이사이드,(주)서해광고,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/795311F02_1-20-TH-10-340,20.02
33182,비엠더블유코리아 MINI : ADD INSPIRATION편,2020-09-23,15.0,수송기기,수입자동차,수입자동차제품종합,비엠더블유코리아(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)크리에이티브라운지,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794521F02_1-20-TH-09-926,15.02
33183,금호석유화학 휴그린 : 작품편,2020-09-23,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,금호석유화학(주),(주)오리콤,오리콤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860466H01_1_24-TH-07-517,15.02
33184,맞춤보험365_반상기라면,2020-09-23,240.0,"금융,보험및증권",금융및보험,금융및보험기타,(주)이노리어,(주)제이앤케이인글로벌,비앤비,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794664F02_1-20-TJ-09-180,120.05
33185,임산부 배려 캠페인,2020-09-23,10.0,관공서및단체,단체,단체기타,인구보건복지협회전북지회,한국언론진흥재단,필애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794492F02_1-20-TM-09-049,10.01
33186,르노삼성자동차 XM3 : 디테일까지편,2020-09-23,30.0,수송기기,승용자동차,준중형승용차,르노삼성자동차(주),(주)웰콤퍼블리시스월드와이드,웰콤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794510F02_1-20-TH-09-962,30.03
33187,황토골 흙 돌침대 10월~11월,2020-09-23,20.0,가정용품,가구류,가구류제품종합,황토골 흙돌침대,(주)우일기획,(주)우일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794530F02_1-20-TH-09-910,20.02
33188,넥슨코리아 바람의나라연 : 업데이트편,2020-09-23,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,(주)넥슨코리아,(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/822152H01_1_22-TH-04-137,15.02
33189,샘표식품 폰타나 : 사랑하다편,2020-09-23,15.0,식품,조미향신료,소스및장국,샘표식품 주식회사,레오버넷(주),아이디어베이스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794509F02_1-20-TH-09-884,15.02
